% Author: Mohamed Idries
% Date and Time: 25 July 2016 15:23
% Comment:
% In this trial I installed a single sonar (maxSonar EZ 1) 3m from each wall. 
% *----------------------
% |         
% |           ^
% |	      3m
% |         
% |   
% |  < 3m     X
% |
% 
% Assuming 0 degrees is pointing up and 90 degrees is pointing to the left.
% I obtained the data by slowly moving it around the fixed point from 0 degrees to 90 degrees.
% Format: Milliseconds, Sonar, AccX, AccY, AccZ, GyrX, GyrY, GyrZ
1815,292,-2100,672,15284,-176,195,-155
1818,292,-2116,792,15284,-182,164,-151
1822,292,-2072,616,15356,-191,194,-134
1825,292,-2108,692,15420,-183,176,-153
1829,292,-2048,648,15328,-175,210,-127
1833,292,-2072,672,15376,-185,184,-158
1837,292,-2088,700,15360,-191,188,-119
1841,292,-2088,652,15344,-183,193,-145
1844,292,-2184,636,15340,-198,197,-163
1848,292,-2096,700,15328,-182,196,-147
1851,292,-2160,576,15420,-188,184,-178
1855,292,-2164,684,15356,-181,200,-155
1859,292,-2068,680,15440,-176,208,-151
1862,292,-2000,768,15480,-188,181,-138
1866,292,-2128,712,15400,-189,213,-163
1869,292,-2132,648,15396,-176,185,-148
1873,292,-2124,740,15324,-185,191,-126
1876,292,-2044,608,15324,-193,185,-147
1881,292,-2164,560,15440,-183,185,-154
1885,292,-2180,704,15420,-173,184,-164
1888,292,-2168,664,15428,-193,183,-148
1892,294,-2080,632,15408,-187,180,-150
1895,292,-2140,636,15392,-193,187,-144
1899,294,-2096,660,15420,-182,181,-155
1902,292,-2180,700,15300,-170,181,-144
1906,294,-2068,696,15380,-190,192,-146
1910,292,-2032,680,15324,-210,210,-124
1913,294,-2108,788,15448,-182,190,-159
1917,292,-2088,520,15416,-198,208,-164
1921,292,-2184,580,15364,-190,209,-164
1925,294,-2212,624,15468,-178,221,-158
1928,292,-2116,760,15272,-196,201,-136
1932,294,-2204,612,15296,-193,206,-155
1936,294,-2172,640,15356,-172,184,-144
1939,294,-2156,632,15380,-199,189,-139
1943,294,-2184,692,15372,-203,189,-161
1946,297,-2040,696,15328,-175,165,-143
1950,297,-2236,760,15444,-194,180,-165
1953,297,-2096,720,15332,-170,174,-143
1957,297,-2088,628,15372,-210,181,-147
1961,297,-2032,596,15404,-192,186,-158
1965,297,-2136,580,15556,-188,202,-156
1969,297,-2080,740,15396,-181,181,-156
1972,297,-2120,604,15452,-189,194,-133
1976,297,-2128,740,15316,-193,216,-162
1980,297,-2092,672,15328,-182,190,-149
1983,297,-2060,628,15372,-189,207,-151
1987,297,-2140,656,15456,-192,202,-147
1990,297,-2076,524,15360,-184,187,-158
1994,294,-2084,636,15276,-168,192,-154
1997,292,-2172,692,15420,-162,180,-140
2001,292,-2156,696,15536,-192,174,-148
2006,292,-2032,740,15244,-195,183,-146
2009,292,-2180,548,15376,-170,161,-144
2013,292,-2012,664,15320,-192,212,-137
2016,292,-2076,684,15316,-183,187,-155
2020,292,-2044,736,15288,-177,182,-136
2023,292,-2088,620,15468,-184,189,-138
2027,294,-2124,692,15332,-168,191,-150
2031,294,-2124,768,15552,-175,221,-165
2034,294,-2132,724,15328,-174,184,-138
2038,294,-2108,716,15424,-179,199,-134
2041,294,-2096,612,15300,-188,197,-156
2045,292,-2008,600,15412,-179,198,-153
2049,292,-2140,628,15436,-172,201,-140
2053,292,-2052,648,15432,-185,199,-145
2057,292,-2096,712,15292,-194,189,-154
2060,292,-2104,604,15340,-184,190,-143
2064,292,-2136,612,15276,-183,190,-167
2067,292,-2128,732,15224,-196,204,-161
2071,292,-2144,660,15360,-188,183,-152
2074,294,-2148,604,15304,-192,165,-156
2078,294,-2008,616,15420,-206,170,-130
2082,294,-2040,644,15368,-163,199,-145
2085,292,-2060,712,15496,-204,175,-136
2089,294,-2064,668,15340,-162,202,-138
2093,292,-2140,676,15348,-186,189,-158
2097,292,-2020,660,15348,-197,187,-146
2100,292,-2084,736,15332,-193,216,-149
2104,292,-2120,672,15448,-193,197,-160
2108,292,-2112,704,15476,-184,204,-134
2111,292,-2084,668,15512,-190,193,-164
2115,292,-2224,636,15396,-187,199,-155
2118,292,-2124,656,15420,-184,190,-150
2122,289,-2048,680,15300,-172,197,-158
2126,292,-2180,700,15232,-166,198,-148
2129,292,-2116,656,15272,-197,189,-147
2134,292,-2108,656,15348,-203,181,-137
2137,294,-2124,608,15296,-190,204,-139
2141,292,-2120,620,15320,-194,171,-151
2144,292,-2148,692,15348,-184,202,-159
2148,292,-2164,536,15336,-197,190,-149
2152,292,-2064,584,15440,-188,202,-142
2155,292,-2088,680,15452,-188,192,-161
2159,292,-2104,672,15232,-187,202,-132
2162,292,-2064,688,15328,-199,210,-147
